start date,end date,player ID,team ID,role,comments,,,
2016-05-29,2016-06-08,GarrettG,Eanix,player,,,,
2016-05-29,2016-06-01,Jayyyrah,Eanix,player,,,,
2016-06-01,2016-06-08,Moses,Eanix,player,,,,
2016-06-11,2016-10-21,GarrettG,Exodus,player,,,,
2016-06-11,2016-08-10,Huskih,Exodus,sub,,,,
2016-06-11,2016-10-21,Moses,Exodus,player,,,,
2016-09-07,2016-11-14,Gambit,G2 Esports,player,,,,
2016-09-07,2019-01-07,Kronovi,G2 Esports,player,,,,
2016-09-07,2016-11-12,Lachinio,G2 Esports,player,,,,
2016-06-05,2017-01-02,Espeon,Genesis,player,,,,
2016-08-31,2017-08-18,Klassux,Genesis,player,,,,
2016-04-09,2016-06-01,Moses,Genesis,player,,,,
2016-03-29,2017-01-02,Pluto,Genesis,player,,,,
2018-02-14,2018-07-03,Pluto,Genesis,player,,,,
2016-03-29,2016-08-19,Quinn Lobdell,Genesis,player,,,,
2016-03-29,2016-04-09,Sadjunior,Genesis,player,,,,
2016-05-04,2016-07-18,0ver Zer0,iBUYPOWER,sub,,,,
2016-07-18,2016-09-07,0ver Zer0,iBUYPOWER,player,,,,
2016-04-01,2016-07-17,Gambit,iBUYPOWER,player,,,,
2015-10-30,2016-11-03,Gibbs,iBUYPOWER,player,,,,
2015-10-30,2016-09-07,Kronovi,iBUYPOWER,player,,,,
2016-04-01,2016-09-07,Lachinio,iBUYPOWER,player,,,,
2015-10-30,2016-03-29,Sadjunior,iBUYPOWER,player,,,,
2016-11-20,2017-05-08,Lachinio,Iris,player,,,,
2015-08-29,2016-10-01,Fireburner,Kings of Urban,player,,,,
2016-06-05,2016-08-23,Flow,Kings of Urban,sub,,,,
2015-08-29,2015-10-27,Gambit,Kings of Urban,player,,,,
2015-10-14,2016-10-01,Jacob,Kings of Urban,player,,,,
2015-08-29,2015-10-04,Kyle Masc,Kings of Urban,player,,,,
2015-11-07,2016-04-09,Moses,Kings of Urban,player,,,,
2016-04-09,2016-10-01,Sadjunior,Kings of Urban,player,,,,
2016-02-25,2016-08-28,Insolences,Mock-It eSports NA,player,unknown end,,,
2016-01-30,2016-02-21,Kyle Masc,Mock-It eSports NA,player,,,,
2016-01-30,2016-06-06,Low5ive,Mock-It eSports NA,player,,,,
2016-02-25,2016-07-29,Rizzo,Mock-It eSports NA,player,,,,
2016-06-06,2016-08-28,Zanejackey,Mock-It eSports NA,player,unknown end,,,
2016-10-01,,Fireburner,NRG Esports,player,,,,
2017-01-11,,GarrettG,NRG Esports,player,,,,
2016-10-01,2018-01-08,Jacob,NRG Esports,player,,,,
2016-10-01,2017-01-11,Sadjunior,NRG Esports,player,,,,
2016-03-31,2016-06-05,Espeon,Retrospect,player,wrong start,,,
2016-03-31,2016-06-05,Flow,Retrospect,player,wrong start,,,
2016-03-31,2016-06-05,Huskih,Retrospect,player,,,,
2016-03-31,2016-08-31,Klassux,Retrospect,player,,,,
2016-03-31,2016-07-14,Kyle Masc,Retrospect,player,,,,
2018-02-02,2018-12-20,Jacob,Rogue,player,,,,
2019-01-07,,Kronovi,Rogue,player,,,,
2016-04-03,2016-11-13,Amoney_tv,Selfless Gaming,player,,,,
2016-04-29,2016-07-17,Matt,Selfless Gaming,player,,,,
2017-02-21,2017-07-10,Pluto,Selfless Gaming,player,,,,
2016-04-03,2016-08-28,Sizz,Selfless Gaming,player,Includes Team Chemistry,,,
2017-08-10,2017-12-29,Pluto,Splyce,player,,,,
2016-10-21,2016-12-06,GarrettG,Team Orbit,player,,,,
2016-03-31,2016-06-03,HotWheelsSid,Team Orbit,player,,,,
2016-10-21,2016-12-06,Moses,Team Orbit,player,,,,
2016-03-31,2016-06-05,Stev,Team Orbit,player,,,,
2016-03-31,2016-06-05,Zanejackey,Team Orbit,player,,,,
2016-03-04,2016-05-23,GarrettG,VexX Gaming,player,,,,
2016-04-03,2016-05-23,Jayyyrah,VexX Gaming,player,,,,
2016-03-04,2016-05-23,Turtle,VexX Gaming,player,,,,
