start date,end date,team ID,won?,tournament ID
4/30/2016,5/21/2016,iBUYPOWER,1,RLCS NA Q1
4/30/2016,5/21/2016,Kings of Urban,0,RLCS NA Q1
4/30/2016,5/21/2016,VexX Gaming,0,RLCS NA Q1
4/30/2016,5/21/2016,Genesis,0,RLCS NA Q1
4/30/2016,5/21/2016,Retrospect,0,RLCS NA Q1
4/30/2016,5/21/2016,Mock-It eSports NA,0,RLCS NA Q1
4/30/2016,5/21/2016,Selfless Gaming,0,RLCS NA Q1
4/30/2016,5/21/2016,Orbit eSports,0,RLCS NA Q1
6/25/2016,7/9/2016,iBUYPOWER,0,RLCS NA Q2
6/25/2016,7/9/2016,Kings of Urban,1,RLCS NA Q2
6/25/2016,7/9/2016,Exodus,0,RLCS NA Q2
6/25/2016,7/9/2016,Genesis,0,RLCS NA Q2
6/25/2016,7/9/2016,Lucky Bounce,0,RLCS NA Q2
6/25/2016,7/9/2016,Mock-It eSports NA,0,RLCS NA Q2
6/25/2016,7/9/2016,Selfless Gaming,0,RLCS NA Q2
6/25/2016,7/9/2016,Retrospect,0,RLCS NA Q2
